INSERT INTO public.car_info (brand, model, body_style, engine_capacity, engine_power, gear_box, fuel, color, price_per_day) VALUES
('Volvo', 'XC90', 'SUV', 2.6, 180, 'automatická', 'LPG', 'žltá', 63),
('Volvo', 'XC90', 'SUV', 3.3, 189, 'automatická', 'benzín', 'èervená', 109),
('Volvo', 'XC90', 'SUV', 2.5, 273, 'manuálna', 'benzín', 'biela', 69),
('Volvo', 'XC90', 'SUV', 3.3, 275, 'manuálna', 'diesel', 'žltá', 48),
('Volvo', 'XC90', 'SUV', 2.5, 184, 'manuálna', 'benzín', 'sivá', 104),
('Volvo', 'XC70', 'Kombi', 3.4, 255, 'automatická', 'LPG', 'èervená', 22),
('Volvo', 'XC70', 'Kombi', 3.4, 84, 'automatická', 'benzín', 'strieborná', 97),
('Volvo', 'XC70', 'Kombi', 2.5, 197, 'automatická', 'benzín', 'èierna', 41),
('Volvo', 'XC70', 'Kombi', 2.1, 259, 'automatická', 'diesel', 'modrá', 65),
('Volvo', 'XC70', 'Kombi', 2.6, 212, 'automatická', 'diesel', 'èierna', 118),
('Volvo', 'XC60', 'SUV', 3.3, 255, 'manuálna', 'benzín', 'sivá', 74),
('Volvo', 'XC60', 'SUV', 2.2, 85, 'automatická', 'benzín', 'èervená', 52),
('Volvo', 'XC60', 'SUV', 3.3, 128, 'automatická', 'diesel', 'hnedá', 77),
('Volvo', 'XC60', 'SUV', 3.1, 120, 'automatická', 'benzín', 'zlatá', 44),
('Volvo', 'XC60', 'SUV', 3, 242, 'manuálna', 'LPG', 'modrá', 55),
('Volvo', 'V90', 'Kombi', 3, 128, 'automatická', 'diesel', 'bronzová', 118),
('Volvo', 'V90', 'Kombi', 2.3, 190, 'manuálna', 'LPG', 'tyrkysová', 103),
('Volvo', 'V90', 'Kombi', 2.6, 92, 'automatická', 'benzín', 'modrá', 100),
('Volvo', 'V90', 'Kombi', 3.1, 189, 'automatická', 'LPG', 'tmavomodrá', 45),
('Volvo', 'V90', 'Kombi', 3.6, 234, 'automatická', 'benzín', 'tmavomodrá', 62),
('Volvo', 'V70', 'Kombi', 3.1, 171, 'manuálna', 'benzín', 'zelená', 94),
('Volvo', 'V70', 'Kombi', 3, 221, 'manuálna', 'diesel', 'zlatá', 60),
('Volvo', 'V70', 'Kombi', 3.1, 253, 'automatická', 'benzín', 'zlatá', 102),
('Volvo', 'V70', 'Kombi', 3, 227, 'automatická', 'LPG', 'oranžová', 83),
('Volvo', 'V70', 'Kombi', 3.2, 204, 'automatická', 'benzín', 'èervená', 89),
('Volvo', 'V60', 'Kombi', 2.3, 219, 'manuálna', 'LPG', 'strieborná', 29),
('Volvo', 'V60', 'Kombi', 2.9, 140, 'automatická', 'LPG', 'modrá', 66),
('Volvo', 'V60', 'Kombi', 3.2, 146, 'automatická', 'diesel', 'biela', 98),
